         x    Result     Exact
    0.0000    0.0000    0.0000
    0.0010    0.0180    0.0089
    0.0020    0.0268    0.0178
    0.0030    0.0355    0.0265
    0.0040    0.0442    0.0352
    0.0050    0.0527    0.0437
    0.0060    0.0612    0.0522
    0.0070    0.0695    0.0605
    0.0080    0.0778    0.0688
    0.0090    0.0859    0.0770
    0.0100    0.0940    0.0851
    0.0110    0.1020    0.0931
    0.0120    0.1099    0.1010
    0.0130    0.1177    0.1088
    0.0140    0.1254    0.1165
    0.0150    0.1331    0.1242
    0.0160    0.1406    0.1317
    0.0170    0.1481    0.1392
    0.0180    0.1555    0.1466
    0.0190    0.1628    0.1539
    0.0200    0.1700    0.1611
    0.0210    0.1771    0.1683
    0.0220    0.1842    0.1753
    0.0230    0.1911    0.1823
    0.0240    0.1980    0.1892
    0.0250    0.2048    0.1960
    0.0260    0.2116    0.2028
    0.0270    0.2182    0.2094
    0.0280    0.2248    0.2160
    0.0290    0.2313    0.2225
    0.0300    0.2378    0.2290
    0.0310    0.2441    0.2354
    0.0320    0.2504    0.2417
    0.0330    0.2566    0.2479
    0.0340    0.2627    0.2540
    0.0350    0.2688    0.2601
    0.0360    0.2748    0.2661
    0.0370    0.2807    0.2720
    0.0380    0.2866    0.2779
    0.0390    0.2924    0.2837
    0.0400    0.2981    0.2895
    0.0410    0.3038    0.2951
    0.0420    0.3094    0.3007
    0.0430    0.3149    0.3063
    0.0440    0.3204    0.3117
    0.0450    0.3258    0.3171
    0.0460    0.3311    0.3225
    0.0470    0.3364    0.3278
    0.0480    0.3416    0.3330
    0.0490    0.3467    0.3381
    0.0500    0.3518    0.3432
    0.0509    0.3568    0.3483
    0.0519    0.3618    0.3532
    0.0529    0.3667    0.3581
    0.0539    0.3715    0.3630
    0.0549    0.3763    0.3678
    0.0559    0.3811    0.3725
    0.0569    0.3857    0.3772
    0.0579    0.3903    0.3818
    0.0589    0.3949    0.3864
    0.0599    0.3994    0.3909
    0.0609    0.4039    0.3954
    0.0619    0.4083    0.3998
    0.0629    0.4126    0.4041
    0.0639    0.4169    0.4084
    0.0649    0.4211    0.4127
    0.0659    0.4253    0.4169
    0.0669    0.4294    0.4210
    0.0679    0.4335    0.4251
    0.0689    0.4376    0.4292
    0.0699    0.4415    0.4331
    0.0709    0.4455    0.4371
    0.0719    0.4494    0.4410
    0.0729    0.4532    0.4448
    0.0739    0.4570    0.4486
    0.0749    0.4607    0.4524
    0.0759    0.4644    0.4561
    0.0769    0.4680    0.4597
    0.0779    0.4716    0.4633
    0.0789    0.4752    0.4669
    0.0799    0.4787    0.4704
    0.0809    0.4822    0.4739
    0.0819    0.4856    0.4773
    0.0829    0.4890    0.4807
    0.0839    0.4923    0.4840
    0.0849    0.4956    0.4873
    0.0859    0.4988    0.4906
    0.0869    0.5020    0.4938
    0.0879    0.5052    0.4969
    0.0889    0.5083    0.5001
    0.0899    0.5114    0.5032
    0.0909    0.5144    0.5062
    0.0919    0.5174    0.5092
    0.0929    0.5204    0.5122
    0.0939    0.5233    0.5151
    0.0949    0.5262    0.5180
    0.0959    0.5290    0.5208
    0.0969    0.5318    0.5237
    0.0979    0.5346    0.5264
    0.0989    0.5373    0.5292
    0.0999    0.5400    0.5319
    0.1009    0.5426    0.5345
    0.1019    0.5453    0.5371
    0.1029    0.5478    0.5397
    0.1039    0.5504    0.5423
    0.1049    0.5529    0.5448
