9.998520645427e-01,2.429880173737e-02,-2.958418386802e-04,2.429640569769e-02
9.994084325525e-01,4.859041839842e-02,-5.913350625993e-04,2.428563337201e-02
9.986696262784e-01,7.286768604023e-02,-8.861328504540e-04,2.426771467951e-02
9.976365131543e-01,9.712348281293e-02,-1.179891946814e-03,2.424270209222e-02
9.963103013630e-01,1.213507495748e-01,-1.472274392897e-03,2.421066846922e-02
9.946925336991e-01,1.455425099971e-01,-1.762949195960e-03,2.417170646644e-02
9.927850798009e-01,1.696918900025e-01,-2.051593918843e-03,2.412592779405e-02
9.905901268394e-01,1.937921363878e-01,-2.337896172809e-03,2.407346233299e-02
9.881101687698e-01,2.178366345004e-01,-2.621554998750e-03,2.401445712407e-02
9.853479942624e-01,2.418189248442e-01,-2.902282124020e-03,2.394907524493e-02
9.823066734435e-01,2.657327185150e-01,-3.179803084480e-03,2.387749459101e-02
9.789895435851e-01,2.895719113752e-01,-3.453858203849e-03,2.379990657795e-02
9.754001938889e-01,3.133305968987e-01,-3.724203424931e-03,2.371651478300e-02
9.715424495147e-01,3.370030776347e-01,-3.990610989819e-03,2.362753354324e-02
9.674203550037e-01,3.605838752554e-01,-4.252869968572e-03,2.353318652829e-02
9.630381572493e-01,3.840677391704e-01,-4.510786638150e-03,2.343370530431e-02
9.584002881613e-01,4.074496537076e-01,-4.764184715485e-03,2.332932790550e-02
9.535113471682e-01,4.307248438763e-01,-5.012905450464e-03,2.322029742802e-02
9.483760836936e-01,4.538887797400e-01,-5.256807586214e-03,2.310686065992e-02
9.429993797342e-01,4.769371794431e-01,-5.495767195453e-03,2.298926675940e-02
9.373862326609e-01,4.998660109445e-01,-5.729677402790e-03,2.286776599177e-02
9.315417383485e-01,5.226714925207e-01,-5.958448003654e-03,2.274260853421e-02
9.254710747348e-01,5.453500921114e-01,-6.182004991091e-03,2.261404335557e-02
9.191794858933e-01,5.678985255844e-01,-6.400290002004e-03,2.248231717679e-02
9.126722666958e-01,5.903137540028e-01,-6.613259694456e-03,2.234767351604e-02
9.059547481265e-01,6.125929799815e-01,-6.820885067526e-03,2.221035182129e-02
8.990322833011e-01,6.347336432200e-01,-7.023150734915e-03,2.207058669124e-02
8.919102342308e-01,6.567334153005e-01,-7.220054163003e-03,2.192860718479e-02
8.845939593612e-01,6.785901938392e-01,-7.411604883479e-03,2.178463621777e-02
8.770888019077e-01,7.003020960771e-01,-7.597823689954e-03,2.163889004474e-02
8.694000789991e-01,7.218674519943e-01,-7.778741827235e-03,2.149157782297e-02
8.615330716316e-01,7.432847970272e-01,-7.954400181067e-03,2.134290125481e-02
8.534930154300e-01,7.645528644663e-01,-8.124848475379e-03,2.119305430440e-02
8.452850922057e-01,7.856705776051e-01,-8.290144483158e-03,2.104222298386e-02
8.369144222945e-01,8.066370417087e-01,-8.450353256290e-03,2.089058520422e-02
8.283860576529e-01,8.274515358627e-01,-8.605546378876e-03,2.073831068592e-02
8.197049756882e-01,8.481135047616e-01,-8.755801247759e-03,2.058556092358e-02
8.108760737932e-01,8.686225504850e-01,-8.901200383270e-03,2.043248920001e-02
8.019041645534e-01,8.889784243122e-01,-9.041830772548e-03,2.027924064417e-02
7.927939715947e-01,9.091810186134e-01,-9.177783247128e-03,2.012595232817e-02
7.835501260353e-01,9.292303588558e-01,-9.309151895981e-03,1.997275339849e-02
7.741771635068e-01,9.491265957561e-01,-9.436033514638e-03,1.981976523682e-02
7.646795217079e-01,9.688699976072e-01,-9.558527090647e-03,1.966710164615e-02
7.550615384544e-01,9.884609428008e-01,-9.676733325162e-03,1.951486905814e-02
7.453274501902e-01,1.007899912568e+00,-9.790754190195e-03,1.936316675797e-02
7.354813909233e-01,1.027187483951e+00,-9.900692520745e-03,1.921208712310e-02
7.255273915522e-01,1.046324323019e+00,-1.000665164080e-02,1.906171587301e-02
7.154693795506e-01,1.065311178338e+00,-1.010873502201e-02,1.891213232673e-02
7.053111789768e-01,1.084148874703e+00,-1.020704597377e-02,1.876340966590e-02
6.950565107793e-01,1.102838307134e+00,-1.030168736311e-02,1.861561520072e-02
6.847089933662e-01,1.121380435135e+00,-1.039276136308e-02,1.846881063710e-02
6.742721434147e-01,1.139776277225e+00,-1.048036922785e-02,1.832305234287e-02
6.637493768913e-01,1.158026905732e+00,-1.056461109311e-02,1.817839161172e-02
6.531440102601e-01,1.176133441849e+00,-1.064558580007e-02,1.803487492345e-02
6.424592618568e-01,1.194097050951e+00,-1.072339074139e-02,1.789254419942e-02
6.316982534047e-01,1.211918938155e+00,-1.079812172773e-02,1.775143705211e-02
6.208640116560e-01,1.229600344141e+00,-1.086987287317e-02,1.761158702821e-02
6.099594701385e-01,1.247142541200e+00,-1.093873649806e-02,1.747302384445e-02
5.989874709908e-01,1.264546829520e+00,-1.100480304799e-02,1.733577361571e-02
5.879507668712e-01,1.281814533697e+00,-1.106816102751e-02,1.719985907499e-02
5.768520229271e-01,1.298946999454e+00,-1.112889694711e-02,1.706529978508e-02
5.656938188094e-01,1.315945590581e+00,-1.118709528259e-02,1.693211234162e-02
5.544786507236e-01,1.332811686057e+00,-1.124283844532e-02,1.680031056749e-02
5.432089335046e-01,1.349546677378e+00,-1.129620676259e-02,1.666990569857e-02
5.318870027069e-01,1.366151966056e+00,-1.134727846685e-02,1.654090656085e-02
5.205151167012e-01,1.382628961294e+00,-1.139612969300e-02,1.641331973894e-02
5.090954587707e-01,1.398979077828e+00,-1.144283448283e-02,1.628714973624e-02
4.976301391991e-01,1.415203733917e+00,-1.148746479582e-02,1.616239912684e-02
